,닉네임,댓글,날짜
182,ㄹㄹ(222.235),성지순례 성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례,2013.04.08 00:54:16
183,뉴비(1.214),방법,2013.05.11 15:10:04
184,ㅇ(211.178),순례합니다,2013.06.10 12:41:30
185,ㅇㅇ ,●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄D-100 반수 성공하게 해주세요●█▀█▄,2013.07.30 16:40:13
186,ㅇㅁ(182.218),미친 성지 토사장맥따자,2013.08.07 07:40:00
187,ㅇㅁ(182.218),토사장님 방법한다 방법하면 내계좌가 불어난다,2013.08.07 07:40:16
188,이솝의향연 ,미래에서 왔습니다,2013.08.19 22:32:21
189,arnia(58.125),시도♡狂三です,2013.09.01 21:18:06
190,코루타쿠(123.248),●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서 우리 강아지가 우승하게 해주세요●█▀█▄이번 베스트 일레븐 투표에서,2013.10.20 17:51:46
191,[성지순례중](182.218),[성지순례중],2013.12.10 15:43:27
192,바밥밥바 ,제발 한번만 기회를 더 주세요 간절히 기원합니다 부탁드립니다,2013.12.19 10:42:18
193,성지순례자.(27.124),새해 첫 순례자는 나요.,2014.01.28 23:42:54
194,순례자(203.229),●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요 ●█▀█▄원하는 곳 취직하게 해주세요,2014.02.27 09:29:51
195,qaz(121.166),성지순례 왔소이다,2014.03.04 01:54:00
196,ㅇㅇ(183.109),방ㅡ법,2014.03.06 15:53:55
197,천본앵(211.203),유적탐사 왔습니다^^,2014.03.12 07:19:51
198,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 13:12:30
199,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 13:12:32
200,영웅전설짱(211.177),한무속인에게 알아본결과 방법을 하면 손발이 오그라들면서 썩는다고 하오...함부로 하지마시오...,2003.08.17 05:48:44
201,세잎클로(211.186),아...우연히눌린 게시물이....감동적이오 정녕행지순례인가..그리고내가 꼴등이오!!,2003.08.30 16:58:05
202,스누피탕(220.78),꼴찌는 나의 것,2003.09.01 12:10:10
203,방똘(220.72),미안 내가 먹었넹. 몇일후면 누가 또 먹겠지.,2003.09.11 08:39:56
204,리플(211.217),언제까지 달리나 지켜보아요,2003.09.22 17:15:15
205,bean(211.107),선리플 후감상                 ^-^,2003.09.22 22:45:07
206,성지순례(218.52),내가 꼴등이오 ㅡ.ㅡ;,2003.09.23 18:31:00
207,디디바오(218.148),닥쳐! 이찌질이가튼,2003.10.04 06:58:00
208,ㄴㅇㄹㅇㄴ(211.186),성지순례중!,2003.10.29 15:59:43
209,땡쓰얼랏(152.99),성지순례쭝... 오줌싸고 간다...행숙아 사랑햏~~!,2003.10.31 13:58:48
210,15만4천볼트(203.228),성지순례중... ,2003.11.01 19:17:02
211,돌돌이(211.186),성지 순례중,2003.11.07 05:12:06
212,3838(218.48),디씨의 전설~~~디씨의 햏언~~~방법한다~~~!!,2003.11.11 10:17:59
213,으짜까(218.152),고구마 장사는 느므느므 힘이드오....왜? 달아서.....후우.....°°－ｙ(￣。￣)  추억의 게시물이그랴...눈물이 나려하오.ㅠ_ㅠ,2003.11.13 06:24:51
214,▒복▒면▒(220.92),네놈을 살려두기엔 고구마가 너무 아까워....방법 방법 방법!~!,2003.12.07 18:08:15
215,옹알(211.213),ㅡ.........ㅡ 새해복많이 받으시오,2004.01.04 19:05:23
216,카이사르(61.81),왔노라!  보았노라!  알았노라!(방법의 기원),2004.01.05 07:54:46
217,방법할매_♥(62.178),쌀람해요. 잇힝 -_-*,2004.01.23 23:15:14
218,한정서(218.145),성지순례좀하자,2004.01.29 14:09:47
219,ㅎㅎ(220.87),대략 성지순례중,2004.02.04 07:55:29
220,나도(24.70),성지순례중,2004.02.07 08:08:39
221,발해행자(221.145),"성지순례, 글남기고 가오..",2004.02.07 16:00:56
222,탐험가(211.249),방법의 기원을 찾아서....,2004.02.23 05:21:15
223,5678(220.94),성지순례중...,2004.03.01 16:36:50
224,우훗(218.48),내가 마지막이군..-_-v,2004.03.03 15:54:42
225,오옹(211.217),말로만 듣던 방법이 이거ㅓㅓㅓㅓㅓㅓ 으흐흐,2004.03.11 16:06:35
226,음어어엉머(220.120),[성지순례중]햏력이 오르고 있소!!!! 꼼작않고 16시간째 -ㅜ 데랽 몽하루료,2004.03.22 07:29:29
227,tabriss(61.77),이것이 방법 원본사진..훗날 유물로 남으리..,2004.03.23 13:10:01
228,모모얌(61.82),성지순례중...감격스럼기 서울역 그지업ㅂ다.,2004.05.13 04:26:16
229,오호(61.41),대략 성지순례.. 대단하오,2004.05.16 08:01:32
230,허(210.106),이것이 여기서 유례된...와,2004.05.16 08:58:07
231,309등(221.149),여기도 성지? 대체 성지가 몇 군데오?,2004.06.28 14:32:28
232,거참.....(210.221),새록새록하오,2004.07.30 12:58:33
233,전나(165.194),오랜만이다,2004.09.06 03:36:19
234,성지(210.105),순례..,2004.09.12 06:45:01
235,잇힝(220.80),사랑해~,2004.10.17 15:39:41
236,리마리오(221.147),성지순례 중..,2004.11.30 15:45:23
237,쿨드(61.248),역시 오늘 진정 삶의 보람을 느끼는게요 손발리오그라진다 ㅠㅠ 그유명한 방법한다 방법한다 ㅠㅠ,2005.01.06 07:19:43
238,ㅇ(218.148),아 아직도 성지순례는 멀었구나~,2005.01.24 15:58:19
239,ROCKID(222.98),성지순례중...,2005.02.12 00:00:46
240,아직도(221.144),성지순례하시는분들이계시쿠나,2005.02.14 01:29:12
241,블박(221.153),아직도 성지순례중...,2005.02.16 00:24:16
242,나천재(222.234),성지순례중...,2005.02.18 04:17:09
243,과객(211.221),성지 순례,2005.02.20 07:59:08
244,잇힝(220.78),성지순례,2005.02.24 09:58:44
245,허허(211.215),츄배룹 츄배룹~,2005.03.04 22:51:41
246,쿨피스(220.125),성지순례中,2005.03.12 06:33:32
247,왔노라~(61.104),성지에 입맞추고 가노라. 2005-03-20 8:25AM 방법성지 왔다가다.,2005.03.21 08:25:27
248,감자귀신(211.220),성지의 포스~ 덜덜덜..,2005.04.15 20:01:48
249,ㅎㅎ(221.163),레포트 마감직전 올렸다!! 아자잣!! 크핫핫~~ 현*언니 속보여어~,2005.05.01 00:26:48
250,ㄹㄹ(221.142),성지순례~,2005.06.06 03:45:16
251,이름(211.243),성지 순례,2005.06.21 23:27:21
252,도살(210.117),성시순례,2005.06.22 08:05:15
253,랔햏(221.156),성지순례.,2005.06.22 16:53:40
254,starTAC(222.233),성지순례..,2005.06.22 18:49:29
255,꺄라릉(221.146),성지순례는 끝이 없구려!,2005.06.22 20:32:23
256,오자키(220.76),성지순례,2005.06.23 09:37:02
257,레드삭스(211.178),성지 순례,2005.06.23 22:24:08
258,시밤(220.75),성지순례중ㅋㅋㅋ,2005.07.03 16:08:02
259,내가..(218.146),꼴지다..,2005.07.15 16:27:13
260,쿠로(221.153),힙갤의쿠로.성지순례중?,2005.08.31 16:43:24
261,bailey3(59.19),성지순례중...,2005.09.03 23:43:12
262,가자미(210.104),성지순례..,2005.10.28 13:21:52
263,bailey3(221.167),방법??;;;,2006.02.28 14:17:46
264,無名氏...(211.216),성지순례,2006.06.30 16:06:23
265,김보-지(219.249),지금 이 글 보는 그대를 위한 쉽고 재미있는 게임이 있다. 주소창에 dddd. zotta. net적으면 돼... 언제라도 ,2006.07.03 19:30:05
266,몸토야180(202.43),성지순례~ 겨스갤 만세,2006.07.22 21:02:54
267,The(221.161),3년이나 된 유적지군.. 성지순례 ,2006.10.14 16:06:37
268,가무(61.83),성지순례. 민정아 사랑해,2006.10.25 01:55:35
269,2007(211.209),년 첫타로 성지순례 ㅎㅎㅎ,2007.01.14 17:07:27
270,루니는왜(211.191),방법의 시작이군... 성지순례왔습니다.,2007.04.19 11:21:10
271,ㄷㄱ(211.204),성지순례,2007.05.22 00:52:56
272,ㅛ5ㄱ(203.232),성지순례 머병시나,2007.06.13 09:53:58
273,ed(122.32),성지순례.. 내가 마지막일듯,2007.07.04 14:13:57
274,그럴리가(123.99),내가 마지막 성지순례,2007.07.09 18:11:00
275,없지(211.211),누구맘대로 맘대로 성지순례?,2007.07.10 19:45:17
276,gg(81.250),오라~바로 엊그제 와서 뎃글을 단 친구들이 있군 그래??,2007.07.12 18:24:47
277,ㄴ(122.128),성지순례,2007.07.16 03:32:17
278,벤니 ,성지순례,2007.07.17 22:51:18
279,까를 ,"성지순례,,아 방법한다는 말 자주 쓰는데 성지를 오게되서 영광이오",2007.08.20 01:44:34
280,-0-(203.241),성지군화~,2007.08.25 12:59:17
281,9빠(222.112),성지순례 굽신굽신,2007.09.18 22:00:49
282,사과새 ,성지순례,2007.10.15 22:39:51
283,후계자 ,성지순례,2007.10.22 05:31:23
284,개막장 ,성지순례,2007.10.24 02:26:02
285,돗코이쇼이치 ,성지순례 우왕ㅋ굳ㅋ,2007.10.24 02:30:32
286,신선한감귤 ,성지순례,2007.10.24 02:34:23
287,우왕ㅋ굳ㅋ(125.130),내가 중1때 여기다 리플 달았었는데,2007.11.13 13:57:17
288,FeAg(222.102),여기가 진정 DC의 성지로구만.. ㅋㅋㅋㅋㅋㅋ,2007.11.30 16:34:40
289,FeAg(222.102),진정한 성지 ㅋㅋㅋㅋㅋㅋㅋㅋ,2007.11.30 16:34:54
290,츠키카미 ,2007년 12월 21일 성지순례 내일 서울대 원서접수 마감일임다...이게 진정한 성지군하.. 방법...그 얼마나 유명한..ㅋㅋㅋ,2007.12.21 16:53:23
291,온리탱구 ,방법한다 성지순례 굽신~~,2007.12.26 12:10:31
292,동영배(125.208),오랜만에 보니 좆다..,2008.01.22 18:48:29
293,팬티부라(116.46),성지순례...... 저땐 10대였는데 ㅜㅜ,2008.01.29 10:54:20
294,보이지않는손 ,146,2008.01.31 00:10:40
295,후(211.217),성지순례.. 제발 이번 수능 대박 ㅠㅠ,2008.02.24 12:58:03
296,누두김밥(203.240),성지순례 왔다 감미다,2008.02.25 12:49:51
297,U&ME BLUE ,방법 146,2008.02.25 19:42:19
298,드렐라 ,와 성지순례,2008.03.16 09:44:59
299,양동춘 ,오직천수 불신지옥,2008.05.06 03:13:49
300,역사는(211.180),살아있다,2002.12.02 20:49:55
301,method G(211.108),"It spreads and the nylon cushion which sits it has, when put it does not have it puts method the method which it does it does, the limbs curls, when it has it puts, it does not do",2002.12.05 01:40:40
302,물탱크햏자(61.255),리플은 오늘도 계속되고 있구려...,2002.12.05 18:13:03
303,"ㅡ,.ㅡ(211.201)",대단하군.. 말로만 듣던 방법이 이거였군..,2002.12.06 01:30:04
304,끝(210.221),끝,2002.12.12 23:01:34
305,전문가(211.180),저건 합성입니다..포토샵 20년의 경력을 걸고..,2002.12.13 14:43:18
306,저눤주(218.146),꾸득꾸득 딱지가 안즈믄서 낮드라구여~,2002.12.14 12:25:21
307,울프송(218.232),후후 메리성탄절이오 14일이후 처음 리플이구려,2002.12.25 16:50:46
308,ㅇㅇ(141.223),햏지순례중 아햏햏,2002.12.28 02:08:04
309,졸려(211.211),오오..역시 공식 햏지순례 코스는 필요한 것이었소.,2002.12.31 05:43:59
310,성원햏녀(211.104),새해 복 많이 받으시구랴~새해도 밝았으니 이제 폐인의 길을 마감하고 싶소..뚥흙,2003.01.01 18:18:27
311,으흠~(211.204),리플들을 읽으니...위에 자작극이라고 폄가 절하하던 사람들...지금 게시판에 방법으로 검색을 하면 글이 몇개나 나올까나...역시 \'물건\'을 알아본 다는 것은 힘든 일이군요.,2003.01.01 19:42:54
312,2040-_-(203.109),여튼..방법은 히트어!,2003.01.04 18:27:15
313,울프송(218.232),으하하하하하하 내가 꼴등이오,2003.01.05 04:22:22
314,으누아(211.187),미안하오.. 내가 꼴등이오;;;,2003.01.06 11:20:01
315,거북(61.82),꼴등은 나요. 양심 업ㅂ은 햏자들,2003.01.07 20:59:40
316,노동미사일(218.148),슬쩍 내가 꼴등이오만 ....,2003.01.08 11:27:01
317,햏아아(218.39),신라의 어느향가와 구성에 있어 매우 유사성을 보이고 있소~ 원츄,2003.01.10 22:14:07
318,허허(211.201),내가 꼴등이오만 아햏햏,2003.01.14 14:42:07
319,절딴빤쭈(211.41),햏~ 꼴등은나요!,2003.01.15 11:20:03
320,절딴빤쭈(211.41),---------------- 양심업ㅂ은 꼴등선---------------,2003.01.15 11:20:36
321,성지순례중(61.77),-제 9 처- \'방법\'의 시초가 나타남을 묵상합시다.,2003.01.16 17:04:31
322,뒷집햏자(68.50),방법과 오그라드는 손발 신화의 근원을 방문하였소 2003.1.17,2003.01.17 18:01:46
323,NIRVANA(211.187),"옛 선조햏자들의 숨결이 느껴지는거 같소. -방법,손발리 오그라든다- 2003.1.17",2003.01.17 20:40:14
324,라이프가드(61.79),음... 방법이 여기있었군...  에잇 수영이나 하러가야겠다..,2003.01.18 14:26:40
325,훗..(211.208),내가 마지막이군..,2003.01.24 13:56:50
326,내가(220.79),마지막인데?,2003.01.24 22:05:36
327,[늑대](211.117),어~우~~ㅡ.-a,2003.01.24 22:15:36
328,음(218.237),이것이 \'방법\' 의 시초가 되었소.... 그 할머니는 이것을 아실까?,2003.01.26 14:22:28
329,방법(211.36),방법,2003.01.27 18:46:10
330,어우(218.158),성지순례는 계속되어야한다....,2003.01.28 11:48:37
331,햏자들~(218.147),일년에 한번쯤은 성지에 들리시구려~,2003.01.28 13:10:29
332,수햏중(211.183),방법의 성지에서.. 기념으로..아!  눈물이 나는구려...2003/1/31,2003.01.31 02:44:56
333,꼴등(211.225),실팯돌렸오,2003.01.31 06:11:20
334,아~감격(211.243),디시와의 인연 3주만에 방법의 성지에 왔구려...정말 감동이군,2003.01.31 22:37:31
335,지등믄(211.193),과연 저 할머니는 깔고안진 나이록 방석 가져간 놈을 방법 하였는지 심히 궁금하오...,2003.02.02 17:42:16
336,초햏길(211.191),드디어 방법까지 왔소만... 데체 \'츄배룹~\'이 뭐요???,2003.02.04 22:19:23
337,13인의 아햏(211.208),깔고안진 나이록 방석 갖고간 햏은 지금쯤 손발리 오그라졌겠구려... 불쌍하구려. 햏햏,2003.02.04 23:07:35
338,열도(218.153),소햏도 드디어 여기 까지 왓구려.....소햏도 츄배룹~이궁굼하다오....한시간동안 웃다가 리플다는것이오...,2003.02.05 05:22:58
339,1235(218.51),아아 이곳이 성지구려,2003.02.05 17:54:53
340,맛나니?(218.53),오오 여기였구려 +_+,2003.02.06 15:34:07
341,으오오(203.240),아아.. 털썩...,2003.02.08 02:46:36
342,무식이아들(211.171),근데 저 꼭대기쯤에 어떤늠이 사투리라고 쌔우냐 부산에 그런사투리없다 오늘 처음 초햏자로 성지순례와따가 쓰고간당,2003.02.08 12:52:24
343,무식이아들(211.171),아참 그리고 여기 주인장 득햏자 어른이 \'유식\'이더만..참 괴이한 인연이로고 울 부친 존함이 \'무식\'돼시는데...진 무식..거짓말이면 나를 방법해도좋다..초햏자의 양심을 걸고 난 무식이 아들이다,2003.02.08 12:54:25
344,순례햏자(61.72),2003년 2월9일 본햏도 깃발꽂고 돌아가오...,2003.02.09 04:40:22
345,성지의 리플은(211.49),게속되어야 한다. 쭈욱~,2003.02.10 09:47:22
346,궁금한데(218.38),"그 \""쌔우다\"" 사진은 어디가면 볼수있는것이오?-_-",2003.02.18 15:08:43
347,쿨럭햏자(211.222),계속 성지 순례중.........,2003.02.19 02:27:55
348,흙인토토(61.82),"대왕님rusiel이라는 님의 \""방법\""에 대한 설명이 아주 정확하오~...지역마다 다른지는 모르겠으나 경상도쪽에서 전해져 오는 고유의 방법은 양밥이라 하오~...보통 도둑을 잡을때...주변사람에게 의심이 갈때 그 사람에게 \""양밥해야겠다\""고 겁을 주오. 그럼 순진한 사람은 무서워서 갖다 논다하오~...",2003.02.20 20:20:52
349,lightlas(211.49),가자! 십만 힛을 향해,2003.02.21 14:46:37
350,그억(211.186),방법의 원조가 여기 있었구려~ 이 곳 역시 유적지오~,2003.02.23 23:28:08
351,득햏왕자(211.191),성지순례 본좌 왔다가오.,2003.02.26 11:50:46
352,정말(218.235),엄청난 리플이구려~,2003.02.27 20:56:58
353,--^(61.254),"\'쌔우다\""의 기원을 찾으시는 햏은 \""애견인\""으로 검색...",2003.02.27 21:31:37
354,--^(61.254),"아, 엽갤에서... --",2003.02.27 21:32:45
355,신돟(61.248),2차 성지순례 완료,2003.02.28 17:21:56
356,아햏자(211.171),여기 그 마지막을 쎄우노라..,2003.03.06 02:07:01
357,사슴이(210.206),미쳤씨네~그럼시네~냐~~햏,2003.03.07 09:49:06
358,허허(210.181),절하고 갑니다,2003.03.08 01:23:28
359,지원자(203.252),"본햏, \'방법\'의 참뜻을 머리에 쌔우고 돌아갑니다...",2003.03.12 10:05:38
360,ㅎㅇ(61.81),방법의 뜻을알겠소...ㅋ,2003.03.15 17:01:23
361,자주(211.46),오늘에야 방법의 깊은 뜻을 깨우치고 가요...,2003.03.18 16:15:20
362,홍삼(61.104),햏햏,2003.03.19 01:42:46
363,당소소(211.208),-_- 재송2동 재송그린아파트 53동 10x호.. 우리 외할머니 집이오...-_- 허허. 상당히 충격적이구려 우리 외할머니 댁이오..언제 한번 찾아오시오. 잘 대접하리이다. 난 그 근처에 사오..,2003.03.23 20:22:18
364,pillows(203.240),성지순례완료,2003.03.27 23:27:07
365,Vampire(211.230),왔노라 보았노라 느꼈노라,2003.03.30 21:26:50
366,xirupark(61.74),성지순례기념 깃발꼽고 간다,2003.03.30 22:44:22
367,딸기쥬스(211.203),여기서 방법이 탄생했구료...ㅋㅋㅋㅋ 31일 내가 1등 ㅋㅋㅋ,2003.03.31 08:33:08
368,마지막(203.238),마지막으로 올림다~~~  얼마나가려나,2003.04.08 12:29:08
369,꼴등(61.254),목표는 언제나 꼴등. 아아 위대하여라,2003.04.08 19:02:28
370,꼴등2(61.111),담에봐여,2003.04.10 13:02:47
371,자ㅃ아링(210.107),순례다녀가오,2003.04.11 19:29:27
372,^^(211.207),순례다녀가오. 원츄!!,2003.04.12 01:48:35
373,카갤(219.240),성지 순례,2003.04.17 03:16:06
374,갤러리햏(211.217),올인!,2003.04.18 14:37:24
375,Nk(166.104),성지순례 완료...,2003.04.18 17:24:47
376,방명록(211.60),본햏도 성지순례 완료 다음은 쌔우다 찾아가야겠소,2003.04.18 17:48:30
377,칡천사(211.203),오오 이곳이 바로 .....드디어 나도 방법을 보았소,2003.04.21 00:47:37
378,보물섬(211.212),본햏도 성지순례 완료라오...,2003.04.22 02:09:35
379,남방불패(168.131),아.......,2003.04.22 17:17:00
380,성지순례(203.250),다시 한번보니... 저 할머니는 필시 왜정시대에 크나큰 고통이나 경험을 했던게 틀림없쏘,2003.04.22 18:47:43
381,성지순례(211.110),하고 감,2003.05.02 05:42:08
382,R.D(211.207),성지순례 -_-/,2003.05.02 16:47:56
383,개팔아요(218.50),개가안팔리네...,2003.05.07 02:52:56
384,북햏(61.106),\'득햏에 가까운 유식햏자라면 믿어주실 것이오 아햏햏\' 이것 때문에 힛겔 됬지!!,2003.05.14 21:23:57
385,드디어..(211.243),정말 갓다 노면 안한다가 압권이오..이거 찾느라 무지 고생했소..,2003.05.19 21:35:19
386,순례자(211.206),음.... -_- 이것도 직접 보게 되는구려... 아....오묘한 감정의 교차,2003.05.20 05:02:33
387,지나가는이(210.80),오오.. 성지에 도착했구려.. 이곳이 바로 그 방법의 근원지.. 아아 대략 감개무량이오..,2003.05.30 09:15:16
388,빧올리(218.159),술래왈료~,2003.06.15 00:28:25
389,비햏(220.84),개벽이를 추모하며 성지순례하다가 한번 쌔워봤소...ㅠ.ㅠ,2003.06.20 05:14:39
390,fancyha0102 ,아니 세상에 이런 우연이,2022.12.20 00:44:32
391,김유진(163.239),아.. 성지순례중 본 3번째 사진... 엠마오 가고싶다,2003.07.06 03:26:09
392,권성준(211.56),성지순례 왔소.. 이것이 방법..,2003.07.08 18:15:08
393,올라인보이(61.255),그렇구료 방법의 시작..,2003.07.11 23:04:27
394,제이케이(209.139),대략 여기까지 긴여정이였소...성지순례라...,2003.07.14 04:23:42
395,순례자2(211.215),이게 진정한 방법의 시작...아햏햏 하다는..대략 감개무량이오,2003.07.17 18:00:16
396,아닛!(221.138),정말 이게 시작이었단말인가...,2003.07.26 19:27:17
397,메애러(211.242),성지 순례 했소..,2003.08.03 02:29:43
398,키메(211.55),오...방법이 여기서 시작했구려...감동적이오.T^T 2003/8/5,2003.08.05 13:59:39
399,성지순례(211.215),아아 정녕 감명깊소.. 할머니는 나이록 방석 찾으셨는지 대략 궁금하오.,2003.08.14 02:45:21
400,쿠휄휄(211.54),그래서 현재 쓰이는 방법이란 말도 이...무당이 주문걸고 하는 것에서 유래가 되어서 무당이 어떤일(살풀이나 저주)를 할때 쓰는 방식을 이야기 하는것에서 유래되어..현재의 방법(무슨일을 하는데 필요한 형식)이 된것이요....나 국문과요...알아서 함 쌔워보시요..맞나 안맞나...へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~,2002.08.01 03:17:38
401,쿠휄휄(211.54),다시말해 그 할머닌 맞는 소리 한거요...손발이 오그라드는 저주를 걸겠다는 끔찍한 경고문..ㅡㅡ^ 이요 ..어서 도로 갖다 놓으시요...방법당하기 전해,2002.08.01 03:27:20
402,asdf(68.50),강하구려 -_-d,2002.08.01 04:46:08
403,존트라볼타(211.186),핵탄두 하나가 6천만달러에 거래되고 있다는걸 아나?,2002.08.01 10:38:29
404,유진이(61.106),ㅡㅡ; 모르오. 아직 수햏이 부족한가 보오.,2002.08.01 13:58:31
405,배룹햏자(61.76),へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ 츄배룹~,2002.08.01 14:27:01
406,배룹햏자(61.76),へ(￣∇￣へ) 츄배룹~ (っ￣∇￣)っ  츄배룹~,2002.08.01 14:27:12
407,약속햏자(211.177),어찌만 말이오.... 방법 당하고 싶소?,2002.08.01 15:13:05
408,파다완(166.104),포스의 어두운 면이 할머니를 지배하는가?? 분노는 제다이의 적..,2002.08.01 16:17:36
409,11(218.48),보고 1시간동안 웃었습니다..,2002.08.02 00:26:16
410,이보시오(61.84),유진햏자 사진좀 쌔워주시오...주화입마가 압박해오오...득햏하고싶소..,2002.08.02 03:32:43
411,여보시오(211.250),내 수승화강의 기운을 보내 드리리다. 잘 받으시면 주화입마를 면하실 것이오. 사양하시면 방법하겠소.,2002.08.02 10:49:48
412,구지가(211.171),표절이므로 무효...,2002.08.02 20:07:02
413,龜何龜何(구하구하)(211.171),거북아 거북아,2002.08.02 20:07:51
414,首其現也(수기현야)(211.171),머리를 내어 놓아라.,2002.08.02 20:08:08
415,若不現也(약불현야)(211.171),만약 내놓지 않으면,2002.08.02 20:08:27
416,燔灼而喫也(번작이끽(211.171),구워서 먹으리.,2002.08.02 20:08:43
417,카드폐인(218.235),나이 70세가 되면 국가에서 할머니 들에게 방법을 가르치는걸 아시오?,2002.08.03 05:01:14
418,몰랐소.(211.49),나도 어서 방법을 쌔우고 싶은데..45년이란 세월을 더 기다려야 한단말이오!! 40만원줄테니 좀 가르쳐 주시오!!,2002.08.03 11:01:57
419,근데(211.49),할머니란 정말 좋은것이오...나도 할머니가 보고싶소...정말로..할머니가 깎아주시는 사과가 먹고싶소.,2002.08.03 11:03:43
420,안뵤욱(218.144),갑자기 방법 얘기는 왜하지? 놓점일탈이오!! 40원 내놓으시오!!,2002.08.03 12:21:53
421,뉴스(61.248),mms://newsvod.imbc.com/newsdesk/2002/08/mbc_020801_pm9_news1_100k.asf target=_blank>mms://newsvod.imbc.com/newsdesk/2002/08/mbc_020801_pm9_news1_100k.asf   25분 좀 지나면 나와요,2002.08.03 20:45:11
422,츄베룹(211.203),へ(￣△￣へ) (っ￣ ㆀ￣)っ  츄베룹은 무슨 츄베룹이오 집에가서 침이나 닦으시오 이딴 잼없는거 쌔우는 사람들은 디씨의 왕따요,2002.08.03 21:59:51
423,다크포스(211.108),May the dark force be with you,2002.08.03 23:12:58
424,fancyha0102 ,에피소드 1 안 나왔을 시절 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.12.20 00:45:11
425,추배룹(211.201),누구요?,2002.08.04 02:47:20
426,츄베룹(211.201),나요?,2002.08.04 02:48:00
427,-_-(211.244),아엠유어도그,2002.08.04 15:25:29
428,허허(211.220),"츄베룹 욘석!!! 내가 그리 츄배룹이라고 했거늘....へ(￣∇￣へ) 츄\""배\""룹~ (っ￣∇￣)っ 츄\""배\""룹~",2002.08.04 16:11:10
429,내(211.37),ip 가 몰까?,2002.08.04 17:56:20
430,내(211.37),ip가 바꼈을까?,2002.08.04 17:59:39
431,teddy(211.222),늬들이 게맛을 알아?!へ(￣∇￣へ) ~ (っ￣∇￣)っ,2002.08.05 14:22:57
432,무아(218.54),아아..뒤늦게라도 축하드리오,2002.08.06 03:45:09
433,@^^@(218.146),zzz,2002.08.06 09:49:38
434,미각소멸(211.249),아무래도 방법 당한 거 같소이다. 힛겔까지 와서 매일 딜다보고 있으니..소피티아보다 더 무서워지오.,2002.08.06 10:49:17
